# Which corpus groups exercise each language-spec section. Judgment mapping,
# made by reading each section and confirming against fixtures; regenerate by
# re-reading, not by name-matching. NONE is a finding. Read by tools/progress.py.
spec_file	heading	class	pass_groups	fail_groups	note
dependent_values	Mutation frames	typical	dependent,domains	dependent,domains	pass: call_frame_preserves_disjoint_fact_compile, transition_call_frame_preserves_disjoint_fact_compile, loop_invariant_survives_disjoint_sibling_call_compile, domains/call_requires_preserved_across_disjoint_mutation; fail: call_frame_invalidates_written_fact_rejected, loop_invariant_invalidated_by_sibling_call_rejected, domains/call_requires_invalidated_by_mutation, indexed_domain_requires_invalidated_by_unknown_index_mutation (conservative ceiling)
domains	Declaration and membership	typical	domains,text,constraints	domains	pass: bodyless_domain_declarations_exit, boolean_member_predicate, user_authored_predicate_machine, scalar_domain_issuer_route (`established by`), module_domain_narrow_import_spelling, text/utf8_boundary_established, constraints/guarded_callee_result_bounds (ensures facts need no local annotation); fail: domain_non_boolean_fact, nonboolean_member_predicate, domain_param_requires_membership, bodyless_nonowner_establishment, domain_import_unknown, module_domain_broad_import_hides_leaf, type_constraint_unknown_domain
domains	Refinement and executable membership	typical	domains,data	domains,data	pass: refinement_chain_predicates (A::B::C), executable_domain_membership_{union,intersection}_{guard,value}_exit, match_domain_patterns, if_domain_membership_check, data/match_exhaustive_by_case_union_domain; fail: refinement_chain_alias_rejected, domain_pattern_payload_binding_rejected, data/match_predicate_domain_needs_default, domains/domain_when_clause_retired. Uninhabited-domain declaration legality untested
domains	Exact coercion and erasure	typical	domains,arithmetic	domains,arithmetic	pass: explicit_domain_erasure (predicate forgotten implicitly, semantic needs bare `as`), vacuous_domain_qualification, semantic_cast_{literal,range,guard_chain}_mint, arithmetic/exact_integer_cast_proven, runtime_integer_casts_exit; fail: implicit_semantic_domain_*_weakening, implicit_alias_semantic_weakening, routed_domain_as_rejected, semantic_cast_requires_missing, semantic_cast_fact_false, arithmetic/narrowing_signedness_rejected, exact_integer_cast_unproven
domains	Semantic roles and operators	typical	domains,expressions,operators	domains,constraints,expressions,arithmetic	pass: domain_operator_proven_fact_selects_meaning, domain_operator_inactive_same_carrier_coexists, runtime_result_domain_attached_overload_exit (result-domain overloads), expressions/arithmetic_domain_*_exit, operators/domain_operator_declaration_surface; fail: domain_operator_competing_spelling_meanings, result_domain_overload_duplicate_predicate, result_domain_overload_semantic_weakening, implicit_arithmetic_policy_weakening, constraints/multiple_policy_domain_chain, expressions/match_mixed_result_policies, arithmetic/wrapping_target_plain_operands_rejected
domains	Aliases and identity	typical	domains	domains	pass: transparent_alias_expansion (`Usable = Connected & Authenticated` in types, contracts, executable tests), vacuous_domain_qualification (`Distance = Km`); fail: domain_alias_cycle, domain_alias_publishes_private_constituent, domain_alias_wrong_target, domain_alias_reports_atomic_requirement, domain_alias_unknown
domains	Indexed families	advanced	generics,contracts,expressions	generics,contracts	pass: generics/closed_indexed_quantity, runtime_std_units_exit (Quantity<Units::X> per-pair operators), open_computed_quantity_result (licensed AC normalization via selected conformance), contracts/proof_fact_indexed_domain_application (fixed carrier Resident<P, T>); fail: generics/closed_indexed_domain_{wrong_arity,wrong_type,unknown_const,noncanonical_rat}, closed_indexed_qualification_*, std_units_implicit_cross_index, contracts/proof_fact_indexed_domain_application_{arity,mismatch,unevidenced}
domains	Byte containers and encoding domains	typical	text,domains,wire	text,capabilities	pass: text/utf8_boundary_established, no_nul_boundary_established, domain_forget_validate_transitions, runtime_bounded_carrier_*_exit (capacity carriers), domains/utf8_slice_ops, utf8_return_view_equals_exit, wire/runtime_wire_utf8_invalid_refused_exit (schema-requested encoding validation); fail: text/bounded_carrier_construction_over_capacity_rejected, bounded_carrier_growth_overflow_rejected, bounded_carrier_return_over_capacity_rejected, capabilities/native_bounded_text_external_leaf_rejected
effects	Declarations	typical	capabilities,effects,concurrency,drops	capabilities,build,effects	pass: capabilities/uses_caller_capability_requires, boundary_trait_multiple_effects, declared_synchronous_invocation (`invokes`), concurrency/suspend_after_last_use_compile (`suspends;`), drops/machine_effects_annotation; fail: capabilities/unknown_effect_name, effect_outside_trait_requirement, build/build_effects_undeclared, effects/private_boundary_missing_service_reach (direct boundary use must declare reaches)
effects	Process-exit reach	core	host	NONE	pass: host/process_exit_i32_status (`reaches ProcessExit` ceiling with Service<ProcessExit> authority; console grants none); no fail fixture calls exit_process without ProcessExit reach or authority (the fail-side ProcessExit hits are unrelated providers fixtures)
effects	Recoverable outcomes and strict use	core	errors,calls,filesystem,collections	calls	pass: errors/fallible_result_data_shape (result sum, exhaustive arms), calls/pure_discard_warns_compile, runtime_explicit_discard_executes_exit (`_ = call();`), filesystem/native_enum_result, collections/std_option_runtime_match_exit; fail: calls/discarded_call_result, discarded_trait_call_result, void_value_callee_rejected
effects	Normalization and composition	typical	capabilities,effects	capabilities,effects	pass: capabilities/transitive_effect_inference (wrappers propagate reach), provider_within_ceiling, derives_through_helper, effects/exported_wrapper_service_reach; fail: capabilities/effect_ceiling_exceeded, provider_widens_requirement_ceiling, provider_hidden_extra_effect, blocking_beneath_no_block_root, effects/private_boundary_missing_service_reach. Boundary-parent closure is only declared (traits/boundary_policy_and_service_parents), not asserted; selected-product exclusions untested
effects	Static callback reach dependencies	advanced	effects	effects	pass: nominal_callback_const_reach (reach(Step) specialized to empty admits const eval), structural_callback_reach, generic_callback_schema_reach, nominal_callback_dependency; fail: nominal_callback_console_const_reach, structural_callback_fixed_const_reach
effects	Direct synchronous invocation	advanced	capabilities,effects,targets	capabilities	pass: capabilities/declared_synchronous_invocation (`invokes handler;` refined through a helper-forwarded provider), effects/exported_wrapper_service_reach (`invokes Readable;`), targets/efi_vtable_call, efi_two_table_function_leaves (invokes on EFI roots); fail: cyclic_synchronous_invocation, undeclared_synchronous_invocation
effects	Call-site acknowledgements	typical	concurrency,core,blockexec,tasks	concurrency,capabilities	pass: concurrency/suspend_after_last_use_compile (`suspend x.park()` as a statement), core/wait_wake_boundary_surface (`block ... wait` as let RHS), tasks/task_runtime_machine_selection_compile, blockexec/blocking_executor_custody_claims_compile; fail: concurrency/suspend_call_argument_rejected, suspend_later_operand_rejected (position rules), suspend_live_value_rejected, suspend_self_field_reachable_state_rejected, capabilities/blocking_beneath_no_block_root
effects	Guarded crashes	typical	operators,terminal_psi,errors	operators	pass: operators/crash_routes (`crashes Trap !(right >= 0)` route guard, wrapper `crashes Trap`), terminal_psi/member_crash_contract_boundary (member route guard), errors/trap_unrecoverable_statement (`crash Trap;`); fail: operators/selected_crash_invocation. Recovery/execution-domain subsection untested
effects	Published identity and installation rows	advanced	memory	NONE	pass: memory/secondary_processor_canary (cathedral/processor_startup.omg `reaches <= MachineControl;` installation-bound row); no fail fixture. Normalizer identity rules are meta and untested
evaluation	Invocation admission	meta	comptime,effects,modules,generics	comptime,generics,effects	pass: comptime/provider_boundary_range_endpoint_exit (selected provider body runs in const eval, not builtin token meaning), runtime_const_array_length_exit, effects/nominal_callback_const_reach (specialized reach admits), modules/machine_constant_initializers, generics/runtime_const_data_machine_call_exit; fail: comptime/effectful_const_array_length, unknown_const_array_length, generics/const_data_machine_call_requires_pure, const_data_expression_division_by_zero, effects/nominal_callback_console_const_reach
evaluation	Termination and sponsorship	meta	comptime	comptime	pass: runtime_const_measured_recursion_exit (`terminates by` callee evaluated under fuel); fail: fuel_exhausted_const_array_length (step budget = build-resource error, no hang). Sponsor budgets, receipts, and peak-cell accounting untested
evaluation	Target-semantic capsule	meta	float	NONE	pass: float/build_runtime_semantics_twins{,_windows_x64,_x86_baseline} (const-eval FloatSemantics equals runtime result), foreign_control_state_restore; no fixture uses a target observation (address bound, endianness) or a selected-realization dependency. Straddles advanced
evaluation	Canonical static identities	meta	generics,modules	generics,modules	pass: generics/structured_const_canonical_identity (field-order-independent record atom), structured_const_canonical_rat, modules/match_constant_indices, rational_boolean_indices, compound_constant_indices; fail: generics/structured_const_rat_{unreduced,uncancelled,zero_denominator}, structured_const_ineligible_float_field, closed_indexed_domain_noncanonical_rat, modules/rational_boolean_index_undefined
evaluation	Result caching and published evidence	meta	NONE	NONE	No fixture observes ResultKey/UsageRecord caching, warm/cold charge equivalence, or published carrierless evidence reuse
evaluation	Trait bodies and generators	typical	traits,data,control_flow	traits,data,control_flow	pass: traits/default_machine_in_trait, runtime_trait_default_dispatch_exit, runtime_inherited_trait_default_exit, data/record_pattern_let_exit (exhaustive destructuring, `as`, `as _`), control_flow/record_pattern_arm_rename_guard_exit; fail: traits/default_keyword_retired, inherited_default_ambiguous, inherited_default_reabstracted, data/record_pattern_missing_field, control_flow/nonplace_record_pattern_requires_copy. Reflection-generator paragraphs untested
expressions	Evaluation schedule	core	control_flow,calls,operators,expressions	operators,control_flow	pass: control_flow/transition_operand_schedule (&&/|| short-circuit and path facts), runtime_effectful_subject_single_evaluation_exit, runtime_nonplace_record_pattern_single_evaluation_exit, calls/runtime_transition_subject_call_single_evaluation_exit, operators/operand_requires_after_effects, expressions/runtime_flat_boolean_logic_exit; fail: operators/operand_requires_invalidated, control_flow/transition_fall_through_bool
expressions	Calls, places, and temporaries	core	calls,parameters,references,storage	calls,ownership,borrows	pass: calls/runtime_mut_ref_forward_exit (explicit `&mut` at non-receiver args), runtime_let_mut_reassign_exit, parameters/shared_and_mut_borrow_params_compile, references/runtime_shared_ref_param_guard_exit, storage/runtime_alias_field_integer; fail: calls/immutable_arg_for_mut_param_rejected, plain_let_reassign_rejected, ownership/assign_immutable_parameter, borrows/borrow_mut_literal (temporary lending)
expressions	Operator declarations	typical	operators,expressions,providers,domains,generics	operators,expressions,domains,float,termination	pass: expressions/token_bound_machine_operand_selection (`machine + Wrapped::add`, token and named call share one body), operators/core_operator_declaration_surface, domain_operator_overload_signature_compile, providers/checked_boundary_operator_dispatch_exit (executable supply via provider), domains/domain_operator_spelling_selected, generics/open_computed_quantity_result (trait-bound `operator +`); fail: operators/root_operator_duplicate, root_operator_alpha_equivalent_generic_duplicate, root_operator_return_only_overload, domain_operator_reordered_generic_duplicate, expressions/token_bound_machine_duplicate_shape_rejected, token_bound_machine_foreign_family_rejected, domains/domain_operator_competing_spelling_meanings, float/float_semantics_lookalike_grants_no_primitive, termination/nat_descending_lookalike_grants_no_primitive (compiler ownership)
expressions	Indexing and ranges	core	slices,operators,collections	slices,ranges,collections	pass: slices/subslice_range_surface_compile, inclusive_subslice_end_equals_len_minus_one_compile, full_range_subslice_compile, disjoint_mut_subslice_windows_compile, operators/slice_index_via_spelling_compile, slice_index_bounds_from_operator_contract (receiver borrowing through `[]`), collections/runtime_computed_index_direct_exit; fail: slices/invalid_inclusive_subslice_end_at_len_unchecked, overlapping_mut_subslice_windows_rejected, index_operator_contract_unproven, subslice_range_operator_contract_unproven, ranges/index_read_after_increment_oob, collections/computed_index_unproven_rejected
generics	Applications and specialization	typical	generics	generics	pass: generic_data_instantiation, runtime_generic_two_instantiations_exit, runtime_generic_multiple_specializations_exit, runtime_generic_domain_instantiations_exit, generic_machine_call_monomorphization, runtime_generic_param_position_inference_exit; fail: type_parameter_array_length, const_data_forwarded_type_mismatch, const_data_argument_out_of_range, const_application_type_parameter_destination_rejected
generics	Value binders and const requirements	advanced	generics	generics	pass: value_generic_static_specialization (`Count: u32` vs `const`), value_generic_runtime_argument, value_generic_runtime_result_bound, runtime_const_data_where_fact_exit; fail: value_generic_runtime_requires_unproven, value_generic_static_argument_out_of_range, const_generic_runtime_argument, const_machine_destination_not_inferred
generics	Runtime index identity and storage	advanced	generics	generics	pass: value_generic_runtime_argument (reassigning the source does not retag), runtime_const_container_methods_exit; fail: value_generic_runtime_static_length (static-only use of dynamic binder), value_generic_linear_subject_dropped/duplicated (indexing cannot erase/duplicate custody), value_generic_runtime_subject_out_of_range
generics	Static type equality	typical	generics,dependent	generics,dependent	pass: machine_type_equations (`where Length == u64[0..=Capacity]`), dependent/case_where_generic_type_bound, case_where_generic_type_bound_coverage; fail: dependent/case_where_generic_type_bound_rejected, case_where_generic_type_bound_uncovered, generics/colon_bound_rejected. Boolean-connective type disjunctions as static branches only via the finite family (row 61)
generics	Structural type equations and inference	advanced	generics	generics	pass: omitted_data_binder_range_equation (TinyBytes Capacity recovered from `u64[0..=256]`), declared_range_endpoint_inference; fail: omitted_data_binder_{empty_interval,explicit_conflict,kind_mismatch,missing_range_shell,occurs_cycle,repeat_conflict,underdetermined}
generics	Canonical domain-index matching	advanced	generics	generics	pass: declared_range_endpoint_inference (`0..=128 + 128` is the `256` application), declared_range_endpoint_static_applications, closed_indexed_quantity; fail: closed_indexed_domain_noncanonical_rat, declared_range_endpoint_template_bound_unclosable_rejected, declared_range_endpoint_partial_static_application_rejected
generics	Explicitly derived bounded storage	advanced	generics	generics	pass: omitted_data_binder_range_equation (`storage: [u8; Capacity]` backed by the explicit static argument), runtime_const_data_array_length_exit; fail: negative_const_data_argument_unsigned, non_integer_const_array_length. Element-count-not-inhabitants and stack-fit rules untested
generics	Finite specialization boundary	advanced	traits	traits	pass: traits/dyn_finite_family_dispatch (`where Width == 16 || Width == 32`, every roster tuple materialized); fail: traits/dyn_finite_family_non_member
generics	Reflection boundary	advanced	NONE	NONE	No reflect:: surface exists in the corpus
generics	Requirements and conformance evidence	typical	generics,traits	generics,traits	pass: generics/generic_machine_where_trait_bound (`T satisfies CounterLike`), machine_bound_satisfied_at_call, traits/trait_generic_bound_static_dispatch, generic_trait_parent_binds_requirement; fail: generics/machine_bound_violated_at_call, machine_bound_value_call_unchecked, generic_machine_where_machine_requirement (no anonymous member requirement), traits/trait_satisfies_arity_mismatch
generics	Static machine binder categories	advanced	effects,proofs,generics,float,blockexec,tasks	generics,proofs,drops,tasks	pass: effects/nominal_callback_const_reach (`where machine Step satisfies ...`), structural_callback_reach, float/runtime_total_order_satisfiers_exit (structural callable), generics/nominal_machine_parameter_satisfaction_compile, proofs/named_witness_static_trait_*_compile, tasks/task_runtime_machine_selection_compile; fail: generics/nominal_binder_implicit_selection_rejected, nominal_binder_structural_coincidence_rejected, drops/authored_cleanup_static_argument_rejected, proofs/static_machine_selection_false_equality_rejected, tasks/task_runtime_provider_contract_narrowing. Declaration-identity binders only via layouts/private_callback_slot_demand_compile
generics	Invocation-lifetime families	advanced	NONE	NONE	No fixture binds fresh per-invocation lifetimes on a static callable requirement; no higher-ranked matching is exercised
generics	Nested contracts and proof families	advanced	proofs	proofs	pass: higher_order_machine_schema_compile (`where machine Schema<machine Inner>(...)`), quotient_machine_family_compile; fail: higher_order_machine_schema_contract_mismatch, higher_order_machine_forwarded_contract_mismatch. `u: core::Level` binder untested
generics	Publication and assumptions	meta	NONE	proofs	fail: proofs/generic_contract_pre_specialization_false_law_rejected (template proved before specialization; no laundering of admitted premises); no pass fixture checks public binder identity/category retention
lifetimes	Binders and source applications	advanced	borrow	borrow	pass: multi_source_view_lifetime_compile (`pick<'a>`), borrow_carrying_field_reassignment (`data View<'buf>`), multi_source_carrier_fields_compile; fail: undeclared_lifetime_tag, undeclared_lifetime_argument, lifetime_argument_arity, persistent_borrow_storage_requires_outlives
lifetimes	Returned views	advanced	borrow,calls	borrow	pass: explicit_aggregate_lifetime_selects_source, multi_lifetime_result_field_sources, nested_aggregate_result_unrelated_source_compile, calls/runtime_reference_returned_slice_element_write_exit; fail: view_return_ambiguous_ref_inputs (ambiguous elision), multi_lifetime_result_field_invalidated, nested_aggregate_result_invalidated
lifetimes	Carried-loan transport	advanced	borrow	borrow	pass: borrow_carrying_field_reassignment (assignment ends the overwritten field's loans), multi_source_carrier_fields_compile, runtime_view_of_view_chain_exit; fail: borrow_carrying_field_reassignment_invalidated, borrow_carrying_local_transfer_invalidated, nested_borrow_carrying_local_escape, aggregate_cast_loan_invalidated
machines	Call preconditions	core	constraints,dependent,domains,proofs	constraints,dependent,domains,proofs,termination	pass: constraints/scalar_requires_satisfied_by_literal, dependent/runtime_requires_guarded_call_exit, domains/call_requires_satisfied_by_caller_requires, proofs/signature_call_premises, mathematical_call_premises; fail: constraints/scalar_requires_unproven_literal, dependent/requires_call_unproven_rejected, domains/call_requires_unproven, proofs/contract_call_missing_premise, mathematical_call_missing_premise, termination/cross_machine_tail_requires
machines	Supply	typical	providers,capabilities,float,operators	providers,termination,float,calls,capabilities	pass: providers/external_leaf_{syscall,dllimport,via}_compile, capabilities/external_leaf_binding_forms, float/foreign_control_state_restore (evaluated `via` binding), operators/crash_routes (Binding::CompilerIntrinsic); fail: providers/via_*_rejected, free_adapter_rejected, service_authored_lookalike_not_privileged, termination/nat_descending_lookalike_grants_no_primitive, float/float_meaning_lookalike_grants_no_primitive, calls/empty_body_return_machine_rejected, capabilities/native_*_external_leaf_rejected
machines	Substitution	typical	providers,traits,capabilities	providers,traits,capabilities,tasks	pass: providers/adapter_satisfies_compile (reach refines ceiling), capabilities/provider_within_ceiling, traits/trait_satisfies_machine_signature; fail: providers/checked_boundary_operator_stronger_requires, adapter_hidden_effect, capabilities/provider_widens_requirement_ceiling, traits/trait_satisfies_parameter_mismatch, tasks/task_runtime_provider_contract_narrowing (callback ceiling axis)
machines	States and identity	core	control_flow,termination	control_flow,calls	pass: control_flow/state_transition_chain, runtime_loop_patterns_exit (10000 self-transitions, no frame growth), entry_parameter_explicit_state_forwarding, termination/rank_range_state_cycle; fail: control_flow/bare_state_arrow_transition, transition_empty_arms_rejected, calls/free_machine_named_transition_rejected
modules	Names and imports	core	modules,domains	modules,domains,expressions	pass: module_declaration, package_declaration, use_imports_sibling_data, use_imports_sibling_trait, qualified_declarations (`::` static vs `.` value), domains/domain_import_valid, module_domain_carrier_qualified_import; fail: modules/use_unresolved_path, domains/domain_import_unknown, module_domain_broad_import_hides_leaf, expressions/undeclared_two_segment_path_rejected
modules	Resolution	core	modules,arithmetic,constants	modules,calls,arithmetic,data	pass: modules/qualified_declarations, arithmetic/bare_name_scopes, constants/free_const_local_shadowing (locals before imports); fail: modules/ambiguous_imported_data, imported_name_collides_with_local_data_rejected, duplicate_imported_machine_overload_rejected, calls/recursive_argument_imported_name_collision_rejected, arithmetic/undeclared_bare_name_rejected, data/builtin_type_name_shadow
modules	Visibility	core	modules,domains	modules,domains	pass: modules/pub_visibility_modifier, domains/transparent_alias_expansion (pub domain); fail: modules/boundary_signature_selects_private_data, module_array_private_carrier, domains/domain_alias_publishes_private_constituent. `pub measure` rejection untested
modules	Public structural data	core	modules	modules	pass: use_imports_sibling_data (field writes on an imported Point); fail: boundary_signature_selects_private_data, module_array_private_carrier
